id,numeric_id,name,city,name_with_city,latitude,longitude,operators,total_lines,tram_lines,bus_lines,train_lines,s_bahn_lines
de:14627:4843,33004843,Neuhof (SV),Karcha,Karcha Neuhof (SV),51.09937,13.340557,VGM,4,,,,
de:14627:4096,33004096,Karpfenschänke,Karpfenschänke,Karpfenschänke Karpfenschänke,51.187773,13.443773,VGM,3,,,,
de:14628:1286,33001286,B 170,Karsdorf (bei Freital),Karsdorf (bei Freital) B 170,50.943649,13.701293,RVSOE,3,,,,
de:14628:1285,33001285,Campingplatz,Karsdorf (bei Freital),Karsdorf (bei Freital) Campingplatz,50.928415,13.691654,RVSOE,1,,,,
de:14628:1284,33001284,Heidemühle,Karsdorf (bei Freital),Karsdorf (bei Freital) Heidemühle,50.934989,13.688609,RVSOE,1,,,,
de:14628:1283,33001283,Wendeplatz,Karsdorf (bei Freital),Karsdorf (bei Freital) Wendeplatz,50.936721,13.691592,RVSOE,2,,,,
de:14625:6532,33006532,Landstraße,Kaschwitz,Kaschwitz Landstraße,51.205888,14.179485,RBO|SchmidtSchwarz GmbH & CO. KG,3,,,,
de:14627:4561,33004561,Abzweig Heynitz,Katzenberg (Nossen),Katzenberg (Nossen) Abzweig Heynitz,51.093689,13.357849,VGM,2,,,,
de:14627:4560,33004560,Katzenberg,Katzenberg (Nossen),Katzenberg (Nossen) Katzenberg,51.093446,13.356098,VGM,2,,,,
de:14628:4704,33004704,Agrargenossenschaft,Kaufbach (Wilsdruff),Kaufbach (Wilsdruff) Agrargenossenschaft,51.051937,13.56042,RVSOE,1,,,,
de:14628:4705,33004705,Gasthof,Kaufbach (Wilsdruff),Kaufbach (Wilsdruff) Gasthof,51.052062,13.569852,RVSOE,1,,,,
de:14628:4706,33004706,Zur Windmühle,Kaufbach (Wilsdruff),Kaufbach (Wilsdruff) Zur Windmühle,51.05157,13.574981,RVSOE,1,,,,
de:14628:1028,33001028,Lindenstraße,Kautzsch,Kautzsch Lindenstraße,50.960746,13.765541,RVSOE,1,,356,,
de:14628:1369,33001369,Am Wüsteberg,Kesselsdorf,Kesselsdorf Am Wüsteberg,51.033649,13.605668,RVSOE,2,,162,,
de:14628:1373,33001373,Frankenring,Kesselsdorf,Kesselsdorf Frankenring,51.036191,13.595454,RVSOE,3,,162,,
de:14628:1370,33001370,Freitaler Straße,Kesselsdorf,Kesselsdorf Freitaler Straße,51.031841,13.596487,RVSOE,3,,162,,
