Nummer;Name mit Ort;Name ohne Ort;Ort;Tarifzone 1 ;Tarifzone 2;Tarifzone 3;WGS84_X;WGS84_Y
de:14612:617;Dresden Flughafen;Flughafen;Dresden;0100;;;13,766505;51,124667
de:14612:618;Dresden Flughafen West;Flughafen West;Dresden;0100;;;13,766395;51,123267
de:14612:619;Dresden Flugzeugwerke;Flugzeugwerke;Dresden;0100;;;13,772379;51,126979
de:14612:621;Dresden Krankenhaus Neustadt;Krankenhaus Neustadt;Dresden;0100;;;13,708676;51,089749
de:14612:622;Dresden Hp Trachau;Hp Trachau;Dresden;0106;;;13,704692;51,089708
de:14612:623;Dresden Kopernikusstraße;Kopernikusstraße;Dresden;0100;;;13,711548;51,091388
de:14612:624;Dresden Aachener Straße;Aachener Straße;Dresden;0100;;;13,711954;51,094654
de:14612:625;Dresden Stephanstraße;Stephanstraße;Dresden;0100;;;13,715636;51,093845
de:14612:626;Dresden Wilder-Mann-Straße;Wilder-Mann-Straße;Dresden;0100;;;13,715220;51,088017
de:14612:627;Dresden Platanenstraße;Platanenstraße;Dresden;0100;;;13,718911;51,094381
de:14612:628;Dresden Neuländer Straße;Neuländer Straße;Dresden;0106;;;13,715699;51,099022
de:14612:629;Dresden Heidefriedhof;Heidefriedhof;Dresden;0106;;;13,710646;51,104454
de:14612:634;Dresden Lößnitzweg;Lößnitzweg;Dresden;0100;;;13,712149;51,117296
de:14612:636;Dresden Rähnitzer Allee;Rähnitzer Allee;Dresden;0100;;;13,743097;51,124803
de:14612:637;Dresden Hellerhofstraße;Hellerhofstraße;Dresden;0106;;;13,731440;51,098062
de:14612:638;Dresden Hellerberge;Hellerberge;Dresden;0106;;;13,735778;51,099921
de:14612:639;DD Wilschdorfer Landstraße;Wilschdorfer Landstraße;Dresden;0106;0527;;13,731840;51,126328
de:14612:640;Dresden Saßnitzer Straße;Saßnitzer Straße;Dresden;0106;;;13,731063;51,118159
de:14612:641;Dresden Reineckeweg;Reineckeweg;Dresden;0106;;;13,721085;51,121003
de:14612:642;Dresden Keulenbergstraße;Keulenbergstraße;Dresden;0106;;;13,724891;51,118124
de:14612:643;Dresden Waldteichstraße;Waldteichstraße;Dresden;0106;;;13,729932;51,116953
de:14612:644;Dresden Elsterweg;Elsterweg;Dresden;0106;;;13,727966;51,114007
de:14612:645;Dresden Am Olter;Am Olter;Dresden;0106;;;13,732516;51,109651
de:14612:646;Dresden Lauterbacher Straße;Lauterbacher Straße;Dresden;0106;;;13,737220;51,092285
de:14612:647;Dresden Eschebachstraße;Eschebachstraße;Dresden;0100;;;13,733352;51,081636
de:14612:648;Dresden Beckerstraße;Beckerstraße;Dresden;0100;;;13,735642;51,118001
de:14612:649;Dresden Altwilschdorf;Altwilschdorf;Dresden;0106;;;13,723205;51,123085
de:14612:650;DD Wilschdorf Industriegebiet;Wilschdorf Industriegebiet;Dresden;0106;0528;;13,722183;51,127477
de:14612:651;Dresden Am Hellerhof;Am Hellerhof;Dresden;0106;;;13,734703;51,094094
de:14612:652;Dresden Am Festspielhaus;Am Festspielhaus;Dresden;0100;;;13,752111;51,116119
de:14612:653;Dresden Am Steinacker;Am Steinacker;Dresden;0100;;;13,761334;51,117904
de:14612:654;Dresden Ahlbecker Straße;Ahlbecker Straße;Dresden;0100;;;13,766616;51,118598
de:14612:656;Dresden Stralsunder Straße;Stralsunder Straße;Dresden;0100;;;13,780485;51,114881
de:14612:658;Dresden Bahnhof Klotzsche;Bahnhof Klotzsche;Dresden;0107;;;13,789385;51,114916
de:14612:661;Dresden Grenzstraße (Bus);Grenzstraße (Bus);Dresden;0100;;;13,781052;51,127368
de:14612:662;Dresden Bahnhof Grenzstraße;Bahnhof Grenzstraße;Dresden;0100;;;13,777971;51,128242
de:14612:663;Dresden Klotzsche M-Reiche-Str;Klotzsche Maria-Reiche-Straße;Dresden;0100;;;13,788480;51,126239
de:14612:664;Dresden Putbuser Weg;Putbuser Weg;Dresden;0100;;;13,779636;51,12436
de:14612:665;Dresden Sagarder Weg;Sagarder Weg;Dresden;0100;;;13,782722;51,12363
de:14612:666;Dresden Fontane-Center;Fontane-Center;Dresden;0100;;;13,785060;51,122767
de:14612:667;Dresden St.-Marien-Krankenhaus;St.-Marien-Krankenhaus;Dresden;0100;;;13,784497;51,121131
de:14612:670;Dresden Karlshagener Weg;Karlshagener Weg;Dresden;0100;;;13,774051;51,118045
de:14612:671;Dresden Zinnowitzer Straße;Zinnowitzer Straße;Dresden;0100;;;13,778849;51,116524
de:14612:672;Dresden Hugo-Junkers-Ring;Hugo-Junkers-Ring;Dresden;0100;;;13,790179;51,129926
de:14612:673;Dresden Zur Steinhöhe;Zur Steinhöhe;Dresden;0100;;;13,779404;51,132077
de:14612:675;Dresden Zum Windkanal;Zum Windkanal;Dresden;0100;;;13,778295;51,134818
de:14612:676;Dresden Industriegebiet Nord;Industriegebiet Nord;Dresden;0100;;;13,782505;51,138781
de:14612:677;Dresden Ikarusweg;Ikarusweg;Dresden;0100;;;13,786726;51,131147
de:14612:678;DD Schwimmhalle Klotzsche;Schwimmhalle Klotzsche;Dresden;0100;;;13,780687;51,135339
de:14612:684;Dresden Wölfnitzer Ring;Wölfnitzer Ring;Dresden;0104;;;13,673523;51,040473
de:14612:685;Dresden Kapellenweg;Kapellenweg;Dresden;0104;;;13,666448;51,040008
de:14612:686;Dresden Hirtenstraße;Hirtenstraße;Dresden;0104;;;13,659690;51,040014
de:14612:687;Dresden Am Altfrankener Park;Am Altfrankener Park;Dresden;0104;;;13,651437;51,039295
de:14612:688;Dresden Altfranken;Altfranken;Dresden;0100;;;13,645866;51,033782
de:14612:689;Altfranken Hohe Straße;Hohe Straße;Altfranken;0100;;;13,636224;51,032452
de:14612:691;Dresden Weidentalstraße;Weidentalstraße;Dresden;0100;;;13,678421;51,050138
de:14612:692;Dresden Heilbronner Straße;Heilbronner Straße;Dresden;0100;0610;;13,700899;51,009674
de:14612:693;Dresden Stuttgarter Straße;Stuttgarter Straße;Dresden;0100;0610;;13,698074;51,00683
de:14612:694;Dresden Tübinger Straße;Tübinger Straße;Dresden;0100;0610;;13,699984;51,012313
de:14612:696;Dresden Bonhoefferplatz;Bonhoefferplatz;Dresden;0104;;;13,701658;51,038961
de:14612:697;Dresden Mohorner Straße;Mohorner Straße;Dresden;0104;;;13,702128;51,034657
de:14612:700;Dresden Ebertplatz;Ebertplatz;Dresden;0100;;;13,705377;51,041603
de:14612:701;Dresden Schillingstraße;Schillingstraße;Dresden;0104;;;13,701207;51,041826
de:14612:702;Dresden Clara-Zetkin-Straße;Clara-Zetkin-Straße;Dresden;0100;;;13,697842;51,03792
de:14612:703;Dresden Frankenbergstraße;Frankenbergstraße;Dresden;0100;;;13,697226;51,036301
de:14612:704;Dresden Dölzschener Straße;Dölzschener Straße;Dresden;0100;;;13,697537;51,032719
de:14612:705;Dresden Kasseler Straße;Kasseler Straße;Dresden;0100;;;13,691031;51,033748
de:14612:706;Dresden Altnaußlitz;Altnaußlitz;Dresden;0100;;;13,687056;51,034615
de:14612:707;Dresden Rüdesheimer Straße;Rüdesheimer Straße;Dresden;0100;;;13,685696;51,031713
de:14612:708;Dresden Alfred-Thiele-Straße;Alfred-Thiele-Straße;Dresden;0100;;;13,687099;51,029121
de:14612:709;Dresden Dölzschen;Dölzschen;Dresden;0100;;;13,687616;51,025302
